"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"15813","Lingen-Baccum","7,4131","52,5126","40.0","https://cdc.dwd.de/rest/metadata/station/html/1521876489"
"2100","Helgoland-Düne","7,9119","54,1860","4.0","https://cdc.dwd.de/rest/metadata/station/html/1594245462"
"4549","Schönwald/Schwarzwald","8,1969","48,1002","1021.0","https://cdc.dwd.de/rest/metadata/station/html/1606494202"
"3274","Mettlach-Orscholz (Kurort)","6,5215","49,5070","415.0","https://cdc.dwd.de/rest/metadata/station/html/1614848192"
"15978","Sembach","7,8618","49,5044","316.0","https://cdc.dwd.de/rest/metadata/station/html/178938368"
"5289","Waldachtal-Lützenhardt","8,5612","48,4918","595.0","https://cdc.dwd.de/rest/metadata/station/html/2217491152"
"19171","Hasenkrug-Hardebek","9,8553","54,0038","13.0","https://cdc.dwd.de/rest/metadata/station/html/2623005519"
"15911","Großpostwitz-Denkwitz","14,4343","51,1348","278.0","https://cdc.dwd.de/rest/metadata/station/html/2880341537"
"15801","Hinterschmiding-Sonndorf","13,5922","48,8257","717.0","https://cdc.dwd.de/rest/metadata/station/html/2896143094"
"15976","Ober-Olm/Bellem","8,2107","49,9529","216.0","https://cdc.dwd.de/rest/metadata/station/html/3555844807"
"13667","Freiburg-Mitte","7,8450","48,0006","274.0","https://cdc.dwd.de/rest/metadata/station/html/3867241110"
"5665","Wolfegg","9,7970","47,8180","677.0","https://cdc.dwd.de/rest/metadata/station/html/386937182"
"4477","Schluchsee","8,1860","47,8208","993.0","https://cdc.dwd.de/rest/metadata/station/html/4125257314"
"5049","Titisee-Neustadt-Titisee","8,1460","47,8991","846.0","https://cdc.dwd.de/rest/metadata/station/html/633700035"
"1420","Frankfurt/Main","8,5213","50,0259","100.0","https://cdc.dwd.de/rest/metadata/station/html/812300004455"
"3228","Meinerzhagen (A)","7,6670","51,0976","506.0","https://cdc.dwd.de/rest/metadata/station/html/812300005735"
"1832","Großer Arber","13,1338","49,1129","1436.0","https://cdc.dwd.de/rest/metadata/station/html/812300006311"
"1515","Fürstenfeldbruck","11,2667","48,2000","519.0","https://cdc.dwd.de/rest/metadata/station/html/812300007591"
"3761","Öhringen","9,5176","49,2070","276.0","https://cdc.dwd.de/rest/metadata/station/html/812300008167"
"596","Boltenhagen","11,1908","54,0027","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300014439"
"5705","Würzburg","9,9576","49,7704","268.0","https://cdc.dwd.de/rest/metadata/station/html/812300016295"
"3390","München-Riem","11,7094","48,1369","529.0","https://cdc.dwd.de/rest/metadata/station/html/812300017575"
"125","Altenstadt","10,8667","47,8342","742.0","https://cdc.dwd.de/rest/metadata/station/html/812300018151"
"7412","Neuhütten/Spessart","9,4238","50,0083","340.0","https://cdc.dwd.de/rest/metadata/station/html/812300021287"
"3086","Lübeck-Blankensee","10,6989","53,8025","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300024423"
"1425","Frankfurt/Main (Feldbergstr.)","8,6601","50,1213","109.0","https://cdc.dwd.de/rest/metadata/station/html/812300025703"
"2315","Holzdorf (Flugplatz)","13,1666","51,7657","80.0","https://cdc.dwd.de/rest/metadata/station/html/812300026279"
"963","Diepholz","8,3424","52,5881","38.0","https://cdc.dwd.de/rest/metadata/station/html/812300036263"
