X,Y,FID,Bundesland,Name,Baujahr,Gesamtleistung__MW_,Anzahl,Typ__WKA_,Ort,Landkreis,Breitengrad,Längengrad,Projektierer___Betreiber,Bemerkungen
8.96180555600006,54.895277778,1,Schleswig-Holstein,Windpark Ellhöft-Westre,2000,"35,45",13,AN Bonus 1300/62 (6×),Ellhöft,NF,54.8952777777778,8.96180555555556,"Bürger-WP Ellhöft, Grenzstrom Vindtved",Prototypen derRepower 6M
8.96180555600006,54.895277778,2,Schleswig-Holstein,Windpark Ellhöft-Westre,2007,,,Siemens SWT-2.3-93 (4×),Westre,,54.8952777777778,8.96180555555556,,
8.96180555600006,54.895277778,3,Schleswig-Holstein,Windpark Ellhöft-Westre,2008–2009,,,Repower 6M(3×),,,54.8952777777778,8.96180555555556,,
8.64111111100004,54.8586111110001,4,Schleswig-Holstein,Windpark Friedrich-Wilhelm-Lübke-Koog[10],1990,"71,5",34,Enercon E-66/15.66(5×),Friedrich-Wilhelm-Lübke-Koog,NF,54.8586111111111,8.64111111111111,"Bürger-WP Lübke-Koog Meeresfrieden, eeNORD",Repowering2004 (14×Vestas V80-2MWstatt 52×HSW 250) und 2008 (1×REpower MM82statt 3×Enercon-32)
8.64111111100004,54.8586111110001,5,Schleswig-Holstein,Windpark Friedrich-Wilhelm-Lübke-Koog[10],1998,,,Vestas V80-2MW(17×),,,54.8586111111111,8.64111111111111,,
8.64111111100004,54.8586111110001,6,Schleswig-Holstein,Windpark Friedrich-Wilhelm-Lübke-Koog[10],2004,,,REpower MM82(7×),,,54.8586111111111,8.64111111111111,,
8.64111111100004,54.8586111110001,7,Schleswig-Holstein,Windpark Friedrich-Wilhelm-Lübke-Koog[10],2005,,,REpower 3.4M104(4×),,,54.8586111111111,8.64111111111111,,
8.64111111100004,54.8586111110001,8,Schleswig-Holstein,Windpark Friedrich-Wilhelm-Lübke-Koog[10],2008,,,Senvion MM82(1×),,,54.8586111111111,8.64111111111111,,
8.64111111100004,54.8586111110001,9,Schleswig-Holstein,Windpark Friedrich-Wilhelm-Lübke-Koog[10],2012,,,,,,54.8586111111111,8.64111111111111,,
8.64111111100004,54.8586111110001,10,Schleswig-Holstein,Windpark Friedrich-Wilhelm-Lübke-Koog[10],2014–2015,,,,,,54.8586111111111,8.64111111111111,,
8.88194444400006,54.823611111,11,Schleswig-Holstein,Windpark Braderup,2005–2006,"18,4",8,Siemens SWT-2.3-101 (8×),Braderup,NF,54.8236111111111,8.88194444444444,Bürger-WP Braderup,
9.53294444400007,54.809888889,12,Schleswig-Holstein,Windkraftanlage Wees,1993,"0,1",1,Vestas V20-100kW(1×),Wees,SL,54.8098888888889,9.53294444444444,,
9.34977777800003,54.8019722220001,13,Schleswig-Holstein,Windkraftanlage Harrislee,1995,"0,5",1,Nordtank NTL 500/41(1×),Harrislee,SL,54.8019722222222,9.34977777777778,Balzersen,
9.45633333300003,54.7718055560001,14,Schleswig-Holstein,Windkraftanlage Flensburg[4],1996,"0,2",1,Enercon E-30/2.30(1×),Sandberg,FL,54.7718055555556,9.45633333333333,Hochschule Flensburg (Fachhochschule),Windkraftanlage für Lehr- und Forschungszwecke
8.75944444400005,54.765833333,15,Schleswig-Holstein,Windpark Galmsbüll,2009,"10,2",3,Repower 3.4M104(3×),Galmsbüll,NF,54.7658333333333,8.75944444444444,,
9.68094444400003,54.763333333,16,Schleswig-Holstein,Windpark Dollerup,2001,"8,6",5,Südwind S70(3×),Dollerup,SL,54.7633333333333,9.68094444444444,"seeBA, Jensen & Falke",
9.68094444400003,54.763333333,17,Schleswig-Holstein,Windpark Dollerup,2007,,,REpower MM82(2×),,,54.7633333333333,9.68094444444444,,
9.81,54.7616944440001,18,Schleswig-Holstein,Windpark Steinberg,1995,"1,8",3,Tacke TW 600 (3×),Steinberg,SL,54.7616944444444,9.81,,
